response,context1,context2,context3,context4,context5,context6,context7
Mind where you're going! Slow down!,The Fat Lady's there.,"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.,You heard. Move!,"Come on, move.",The headmaster's here.
You listen! I'm Head Boy!,Mind where you're going! Slow down!,The Fat Lady's there.,"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.,You heard. Move!,"Come on, move."
Come back here!,You listen! I'm Head Boy!,Mind where you're going! Slow down!,The Fat Lady's there.,"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.,You heard. Move!
Keep moving!,Come back here!,You listen! I'm Head Boy!,Mind where you're going! Slow down!,The Fat Lady's there.,"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.,Mr. Filch? Round up the ghosts.
"Dear lady, who did this to you?",Keep moving!,Come back here!,You listen! I'm Head Boy!,Mind where you're going! Slow down!,The Fat Lady's there.,"There's no need for ghosts, professor.",Tell them to search every painting in the castle to find the Fat Lady.
"Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?",Keep moving!,Come back here!,You listen! I'm Head Boy!,Mind where you're going! Slow down!,The Fat Lady's there.,"There's no need for ghosts, professor."
"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?",Keep moving!,Come back here!,You listen! I'm Head Boy!,Mind where you're going! Slow down!,The Fat Lady's there.
The one they all talk about.,"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?",Keep moving!,Come back here!,You listen! I'm Head Boy!,Mind where you're going! Slow down!
"He's here, somewhere in the castle!",The one they all talk about.,"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?",Keep moving!,Come back here!,You listen! I'm Head Boy!
Sirius Black!,"He's here, somewhere in the castle!",The one they all talk about.,"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?",Keep moving!,Come back here!
"Secure the castle, Mr. Filch.",Sirius Black!,"He's here, somewhere in the castle!",The one they all talk about.,"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?",Keep moving!
"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch.",Sirius Black!,"He's here, somewhere in the castle!",The one they all talk about.,"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name.","Dear lady, who did this to you?"
I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch.",Sirius Black!,"He's here, somewhere in the castle!",The one they all talk about.,"It's him, headmaster.","Eyes like the devil, he's got, and a soul as dark as his name."
There's nothing there.,I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch.",Sirius Black!,"He's here, somewhere in the castle!",The one they all talk about.,"It's him, headmaster."
Thank you.,There's nothing there.,I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch.",Sirius Black!,"He's here, somewhere in the castle!",The one they all talk about.
"The third floor's clear too, sir.",Thank you.,There's nothing there.,I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch.",Sirius Black!,"He's here, somewhere in the castle!"
Very good.,"The third floor's clear too, sir.",Thank you.,There's nothing there.,I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch.",Sirius Black!
I've done the dungeons.,Very good.,"The third floor's clear too, sir.",Thank you.,There's nothing there.,I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall.","Secure the castle, Mr. Filch."
"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.,Very good.,"The third floor's clear too, sir.",Thank you.,There's nothing there.,I've searched the Astronomy Tower and the Owlery. ,"The rest of you, to the Great Hall."
I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.,Very good.,"The third floor's clear too, sir.",Thank you.,There's nothing there.,I've searched the Astronomy Tower and the Owlery. 
"Remarkable feat, don't you think?",I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.,Very good.,"The third floor's clear too, sir.",Thank you.,There's nothing there.
To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?",I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.,Very good.,"The third floor's clear too, sir.",Thank you.
"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?",I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.,Very good.,"The third floor's clear too, sir."
Any theories on how he managed it?,"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?",I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.,Very good.
Many. Each as unlikely as the next.,Any theories on how he managed it?,"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?",I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle.",I've done the dungeons.
You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.,Any theories on how he managed it?,"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?",I didn't really expect him to linger.,"No sign of Black, nor anywhere else in the castle."
Not a single professor inside this castle would help Sirius Black enter it.,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.,Any theories on how he managed it?,"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?",I didn't really expect him to linger.
I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.,Not a single professor inside this castle would help Sirius Black enter it.,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.,Any theories on how he managed it?,"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?,"Remarkable feat, don't you think?"
What about Potter?,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.,Not a single professor inside this castle would help Sirius Black enter it.,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.,Any theories on how he managed it?,"Quite remarkable, yes.",To enter Hogwarts Castle on one's own completely undetected?
Should he be warned?,What about Potter?,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.,Not a single professor inside this castle would help Sirius Black enter it.,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.,Any theories on how he managed it?,"Quite remarkable, yes."
"Perhaps. But for now, let him sleep.",Should he be warned?,What about Potter?,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.,Not a single professor inside this castle would help Sirius Black enter it.,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.,Any theories on how he managed it?
"For in dreams, we enter a world that's entirely our own.","Perhaps. But for now, let him sleep.",Should he be warned?,What about Potter?,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.,Not a single professor inside this castle would help Sirius Black enter it.,You may recall prior to the start of term I expressed concerns about your appointment of Professor...,Many. Each as unlikely as the next.
